pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
TC	AFR	1	1	0	0
TC	AFR	1	2	0	0
TC	AFR	1	4	0	0
TC	AFR	1	17	0	0
TC	AFR	1	19	0	0
TC	AFR	1	35	0	0
TC	AFR	1	40	0	0
TC	AFR	1	48	0	0
TC	AFR	1	49	0	0
TC	AFR	1	51	0	0
TC	AFR	1	52	0	0
TC	AFR	1	53	0	0
TC	AFR	1	58	0	0
TC	AFR	1	67	0	0
TC	AFR	1	70	0	0
TC	AFR	1	73	0	0
TC	AFR	1	74	0	0
TC	AFR	1	75	0	0
TC	AFR	1	76	0	0
TC	AFR	1	80	0	0
TC	AFR	1	81	0	0
TC	AFR	1	82	0	0
TC	AFR	1	83	0	0
TC	AFR	1	84	2	1
TC	AFR	1	85	0	0
TC	AFR	1	89	0	0
TC	AFR	1	92	0	0
TC	AFR	1	94	0	0
TC	AFR	1	95	0	0
TC	AFR	1	96	0	0
TC	AFR	1	97	0	0
TC	AFR	1	100	0	0
TC	AFR	1	109	0	0
TC	AFR	1	124	0	0
TC	AFR	1	125	0	0
TC	AFR	1	127	0	0
TC	AFR	1	136	0	0
TC	AFR	1	138	1	0
TC	AFR	1	139	0	0
TC	AFR	1	140	0	0
TC	AFR	1	141	0	0
TC	AFR	1	144	0	0
TC	AFR	1	145	0	0
TC	AFR	1	150	0	0
TC	AFR	1	151	0	0
TC	AFR	1	153	0	0
TC	AFR	1	154	0	0
TC	AFR	1	156	0	0
TC	AFR	1	158	0	0
TC	AFR	1	162	0	0
TC	AFR	1	168	0	0
TC	AFR	1	169	0	0
TC	AFR	1	175	0	0
TC	AFR	1	182	0	0
TC	AFR	1	183	0	0
TC	AFR	1	185	0	0
TC	AFR	1	187	0	0
TC	AFR	1	188	0	0
TC	AFR	1	192	0	0
TC	AFR	1	201	0	0
TC	AFR	1	202	0	0
TC	AFR	1	205	0	0
TC	AFR	1	209	0	0
TC	AFR	1	213	0	0
TC	AFR	1	221	0	0
TC	AFR	1	223	0	0
TC	AFR	1	224	0	0
TC	AFR	1	226	0	0
TC	AFR	1	229	0	0
TC	AFR	1	233	0	0
TC	AFR	1	234	0	0
TC	AFR	1	235	0	0
TC	AFR	1	238	0	0
TC	AFR	1	239	0	0
TC	AFR	1	240	0	0
TC	AFR	1	252	0	0
TC	AFR	1	253	0	0
TC	AFR	1	254	0	0
TC	AFR	1	255	0	0
TC	AFR	1	257	0	0
TC	AFR	1	280	0	0
TC	AFR	1	281	0	0
TC	AFR	2	6	0	0
TC	AFR	2	21	0	0
TC	AFR	2	31	0	0
TC	AFR	2	32	0	0
TC	AFR	2	37	0	0
TC	AFR	2	38	0	0
TC	AFR	2	39	0	0
TC	AFR	2	40	0	0
TC	AFR	2	41	0	0
TC	AFR	2	42	0	0
TC	AFR	2	43	0	0
TC	AFR	2	44	0	0
TC	AFR	2	45	0	0
TC	AFR	2	46	0	0
TC	AFR	2	47	0	0
TC	AFR	2	48	0	0
TC	AFR	2	49	0	0
TC	AFR	2	50	0	0
TC	AFR	2	51	0	0
TC	AFR	2	53	0	0
TC	AFR	2	55	0	0
TC	AFR	2	56	0	0
TC	AFR	2	66	0	0
TC	AFR	2	69	0	0
TC	AFR	2	71	0	0
TC	AFR	2	72	0	0
TC	AFR	2	74	0	0
TC	AFR	2	75	0	0
TC	AFR	2	77	0	0
TC	AFR	2	84	0	0
TC	AFR	2	88	0	0
TC	AFR	2	89	0	0
TC	AFR	2	97	0	0
TC	AFR	2	99	0	0
TC	AFR	2	100	0	0
TC	AFR	2	102	0	0
TC	AFR	2	107	0	0
TC	AFR	2	115	0	0
TC	AFR	2	121	0	0
TC	AFR	2	122	0	0
TC	AFR	2	124	0	0
TC	AFR	2	125	0	0
TC	AFR	2	127	0	0
TC	AFR	2	128	0	0
TC	AFR	2	130	0	0
TC	AFR	2	131	0	0
TC	AFR	2	138	0	0
TC	AFR	2	146	0	0
TC	AFR	2	147	0	0
TC	AFR	2	152	0	0
TC	AFR	2	153	0	0
TC	AFR	2	155	0	0
TC	AFR	2	162	0	0
TC	AFR	2	163	0	0
TC	AFR	2	164	0	0
TC	AFR	2	166	0	0
TC	AFR	2	168	0	0
TC	AFR	2	171	0	0
TC	AFR	2	172	0	0
TC	AFR	2	177	0	0
TC	AFR	2	180	0	0
TC	AFR	2	181	0	0
TC	AFR	2	192	0	0
TC	AFR	2	196	0	0
TC	AFR	2	198	0	0
TC	AFR	2	199	0	0
TC	AFR	2	205	0	0
TC	AFR	2	208	0	0
TC	AFR	2	210	0	0
TC	AFR	2	211	0	0
TC	AFR	2	212	0	0
TC	AFR	2	213	0	0
TC	AFR	2	217	0	0
TC	AFR	2	218	0	0
TC	AFR	2	228	0	0
TC	AFR	2	232	0	0
TC	AFR	2	233	0	0
TC	AFR	2	241	0	0
TC	AFR	2	242	0	0
TC	AFR	2	250	0	0
TC	AFR	2	255	0	0
TC	AFR	3	24	0	0
TC	AFR	3	41	0	0
TC	AFR	3	45	0	0
TC	AFR	3	51	0	0
TC	AFR	3	56	0	0
TC	AFR	3	70	0	0
TC	AFR	3	71	0	0
TC	AFR	3	83	0	0
TC	AFR	3	88	0	0
TC	AFR	3	89	0	0
TC	AFR	3	104	0	0
TC	AFR	3	107	0	0
TC	AFR	3	112	0	0
TC	AFR	3	113	0	0
TC	AFR	3	120	0	0
TC	AFR	3	121	0	0
TC	AFR	3	122	0	0
TC	AFR	3	123	0	0
TC	AFR	3	127	0	0
TC	AFR	3	128	0	0
TC	AFR	3	129	0	0
TC	AFR	3	131	0	0
TC	AFR	3	132	0	0
TC	AFR	3	135	0	0
TC	AFR	3	136	0	0
TC	AFR	3	140	0	0
TC	AFR	3	145	0	0
TC	AFR	3	149	0	0
TC	AFR	3	150	0	0
TC	AFR	3	154	0	0
TC	AFR	3	158	0	0
TC	AFR	3	161	0	0
TC	AFR	3	165	0	0
TC	AFR	3	170	0	0
